feature,importance_gini
REFUSED_AMT_GOODS_PRICE_MEAN,0.00029818324653806843
BURO_DAYS_CREDIT_ENDDATE_MAX,0.000294858557122927
PREV_PRODUCT_COMBINATION_Cash_MEAN,0.0002876930638470926
DAYS_LAST_PHONE_CHANGE,0.000280466487605858
AMT_CREDIT,0.000279728610552145
PREV_DAYS_DECISION_MIN,0.0002742095450616538
BURO_CREDIT_ACTIVE_Sold_MEAN,0.00027275088887607956
DEF_30_CNT_SOCIAL_CIRCLE,0.00027207865948001496
PREV_CODE_REJECT_REASON_LIMIT_MEAN,0.0002675301530433891
PREV_NAME_CONTRACT_TYPE_Consumer loans_MEAN,0.00026235905159837996
APPROVED_AMT_ANNUITY_MIN,0.00025985187983161204
INSTAL_AMT_PAYMENT_SUM,0.00025673131844587536
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,0.00025642923162102766
FLOORSMIN_MEDI,0.00025576285441598434
APPROVED_AMT_DOWN_PAYMENT_MEAN,0.00024757361470056303
AMT_REQ_CREDIT_BUREAU_QRT,0.00024672458706471935
APARTMENTS_MEDI,0.00024528246486570657
APPROVED_AMT_APPLICATION_MAX,0.00024386234686829132
APPROVED_AMT_ANNUITY_MAX,0.00024309023110052563
APPROVED_CNT_PAYMENT_SUM,0.0002426669979004397
PREV_NAME_GOODS_CATEGORY_Audio/Video_MEAN,0.00024246472139322317
INSTAL_AMT_INSTALMENT_SUM,0.00024207140060387175
REFUSED_RATE_DOWN_PAYMENT_MIN,0.00024127031788596814
REFUSED_AMT_CREDIT_MEAN,0.00024018445977009973
REFUSED_AMT_APPLICATION_MEAN,0.00023562129523529822
PREV_NAME_GOODS_CATEGORY_XNA_MEAN,0.0002355976600227877
BURO_AMT_CREDIT_SUM_SUM,0.00023426609457158086
REFUSED_APP_CREDIT_PERC_MIN,0.00023402711198775808
CLOSED_DAYS_CREDIT_ENDDATE_MIN,0.0002308557687279305
BURO_DAYS_CREDIT_VAR,0.00023081236264792804
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,0.00022985898320110156
APPROVED_AMT_APPLICATION_MEAN,0.00022937334736308226
PREV_APP_CREDIT_PERC_MAX,0.00022772690895710856
NAME_CONTRACT_TYPE_Revolving loans,0.00022582116451740672
ORGANIZATION_TYPE_Self-employed,0.0002253313227638666
APPROVED_AMT_DOWN_PAYMENT_MAX,0.00022140220946697455
INSTAL_PAYMENT_PERC_SUM,0.00021571564276747635
BURO_DAYS_CREDIT_UPDATE_MEAN,0.00021317893421256734
PREV_NAME_PORTFOLIO_POS_MEAN,0.00020950055099496726
NONLIVINGAPARTMENTS_MEDI,0.00020556222812728053
HOUR_APPR_PROCESS_START,0.00020395765601210282
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,0.00019946464142318884
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,0.00019879786578614442
APPROVED_AMT_ANNUITY_MEAN,0.0001922856717718217
PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN,0.0001879561311491323
PREV_NAME_CONTRACT_TYPE_Cash loans_MEAN,0.00018611047615156695
REFUSED_APP_CREDIT_PERC_VAR,0.00018518889250892004
REFUSED_HOUR_APPR_PROCESS_START_MEAN,0.00018493512117664357
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,0.00018398253857500042
BURO_AMT_CREDIT_SUM_MAX,0.0001814243256528835
INSTAL_PAYMENT_DIFF_MAX,0.00018135336662914882
PREV_RATE_DOWN_PAYMENT_MEAN,0.00018034851204172013
PREV_PRODUCT_COMBINATION_Card X-Sell_MEAN,0.00018029091267819745
APPROVED_AMT_GOODS_PRICE_MEAN,0.00017859848832098423
BASEMENTAREA_AVG,0.00017325711454866974
REFUSED_AMT_DOWN_PAYMENT_MAX,0.00017225463755880143
FLAG_DOCUMENT_8,0.00017061523639957225
